drug,drug_name,synonyms,smiles,smiles_source
94,TGX221,"TGX-221, Tgx 221",Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,name
104,Bortezomib,"PS-341, LDP-341, Velcade",CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,name
106,XMD8-85,ERK5-IN-1,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,name
110,Seliciclib,"Roscovitine, CYC-202, AL-39256",CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,name
111,Salubrinal,EIF-2alpha Inhibitor,O=C(C=Cc1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl,name
119,Lapatinib,"Tykerb, Tyverb",CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,name
127,GSK269962A,GSK 269962A,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,name
133,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,name
134,Etoposide,"Etopophos, Vepesid, Eposin, VP-16",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,name
135,Gemcitabine,"Gemzar, LY-188011",Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,name
136,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex",COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,name
140,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,name
147,NSC-87877,NSC 87877,O=S(=O)(O)c1ccc2cc(N=Nc3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,name
150,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,name
151,QS11,944328-88-5,OCC(Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1,name
152,CP466722,"CP-466722, CP 466722, 1080622-86-1",COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC,name
153,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251",COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,name
154,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,name
155,Ponatinib,"AP24534, AP-24534, KIN001-192, Iclusig",Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,name
156,AZD6482,"AZD 6482, AZD-6482, AK-55409",Cc1cc(C(C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,name
157,JNK-9L,"KIN001-204, JNK inhibitor 9l",Nc1nccc(-c2cc(F)cc(N3CCOCC3)c2)n1,name
158,PF-562271,PF-00562271,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,name
159,HG6-64-1,KIN001-206,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C=Cc4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,name
163,JQ1,"JQ-1, (+)-JQ-1",Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1nnc(C)n1-2,name
164,JQ12,,,missing
165,DMOG,Dimethyloxalylglcine,COC(=O)CNC(=O)C(=O)OC,name
166,FTI-277,,COC(=O)C(CCSC)NC(=O)c1ccc(NCC(N)CS)cc1-c1ccccc1,name
167,OSU-03012,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,name
170,Shikonin,Anchusin,CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,name
171,AKT inhibitor VIII,"Akti-1/2, KIN001-102",O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1,name
172,Embelin,"Emberine, Embelic acid",CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,name
173,FH535,,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,name
175,PAC-1,GTPL5238,C=CCc1cccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,name
176,IPA-3,IPA 3,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,name
177,GSK650394,"GSK-650394, GSK 650394",O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,name
178,BAY-61-3606,"Syk Inhibitor, BAY-613606",COc1ccc(-c2cc3nccn3c(Nc3ncccc3C(N)=O)n2)cc1OC.Cl.Cl,name
179,5-Fluorouracil,5-FU,O=c1[nH]cc(F)c(=O)[nH]1,name
180,Thapsigargin,Octanoic acid,CC=C(C)C(=O)OC1C(C)=C2C(C1OC(=O)CCCCCCC)C(C)(OC(C)=O)CC(OC(=O)CCC)C1(O)C2OC(=O)C1(C)O,name
182,Obatoclax Mesylate,"GX15-070MS, Obatoclax, GX15-070",COc1cc(=C2C=c3ccccc3=N2)[nH]c1=Cc1[nH]c(C)cc1C.CS(=O)(=O)O,name
184,BMS-754807,"BMS754807, BMS 754807",CC1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,name
185,Linsitinib,"OSI-906, ASP-7487",CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,name
186,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,name
190,Bleomycin,,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,name
192,LFM-A13,DDE-28,CC(O)=C(C#N)C(=O)Nc1cc(Br)ccc1Br,name
193,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor",COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,name
194,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY",CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,name
196,Phenformin,DBI,NC(N)=NC(N)=NCCc1ccccc1,name
197,Bryostatin 1,Bryostatin,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,name
199,Pazopanib,Votrient,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,name
200,Dacinostat,"NVP-LAQ824, LAQ824",O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,name
201,Epothilone B,"Patupilone, EpoB, EPO906, GNF-PF-193",CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,name
202,GSK1904529A,"GSK-1904529A, GSK 1904529A",CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,name
203,BMS-345541,"BMS345541, IKK Inhibitor 3",Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1.Cl,name
204,Tipifarnib,Zarnestra,Cn1cncc1C(N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,name
205,Avagacestat,"BMS-708163, BMS 708163",NC(=O)C(CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,name
206,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi",N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,name
207,AS601245,,N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,name
208,Ispinesib Mesylate,SB-715992,CS(=O)(=O)O.Cc1ccc(C(=O)N(CCCN)C(c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,name
211,TL-2-105,,,missing
219,AT-7519,AT7519,O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl,name
221,TAK-715,"KIN001-201, TAK 715",CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,name
222,BX-912,,O=C(Nc1cccc(Nc2ncc(Br)c(NCCc3cnc[nH]3)n2)c1)N1CCCC1,name
223,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474",FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,name
224,AS605240,"KIN001-173, AS-605240",O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1,name
225,Genentech Cpd 10,,,missing
226,GSK1070916,GSK-1070916,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,name
228,AKT inhibitor VIII,"Akti-1/2, KIN001-102",O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1,name
229,Enzastaurin,LY317615,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,name
230,GSK429286A,,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,name
231,FMK,KIN001-242,Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1,name
235,QL-XII-47,,,missing
236,IC-87114,,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc32)nc2cccc(C)c2c1=O,name
238,Idelalisib,"CAL-101, Zydelig",CCC(Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,name
245,UNC0638,"UNC-0638, UNC 0683",COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,name
249,Cabozantinib,"BMS-907351, XL-184, Cometriq",COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,name
252,WZ3105,,,missing
253,XMD14-99,,,missing
254,Quizartinib,"AC220, AC 220, AC-220, Asp-2689",CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,name
255,CP724714,CP-724714,COCC(=O)NCC=Cc1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,name
256,JW-7-24-1,,,missing
257,NPK76-II-72-1,,,missing
258,STF-62247,STF62247,Cc1cccc(Nc2nc(-c3ccncc3)cs2)c1,name
260,NG-25,NG25,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(Oc4ccnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,name
261,TL-1-85,,,missing
262,VX-11e,"VX11e, VX11e",Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,name
263,FR-180204,"FR 180204, FR180204, ERK Inhibitor II",Nc1[nH]nc2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,name
264,ACY-1215,,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,name
265,Tubastatin A,,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,name
266,Zibotentan,"ZD4054, ZD-4054",COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(-c2nnco2)cc1,name
268,Sepantronium bromide,"YM155, YM-155, YM 155",COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],name
269,NSC-207895,"XI-006, NSC207895",CN1CCN(c2ccc([N+](=O)[O-])c3no[n+]([O-])c23)CC1,name
271,VNLG/124,HDAC inhibitor XV,,missing
272,AR-42,"HDAC-42, AR 42, AR42",CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,name
273,CUDC-101,CUDC 101,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,name
274,Belinostat,"PXD101, PXD-101",O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,name
275,I-BET-762,GSK525762A,CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,name
276,CAY10603,,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,name
277,Linifanib,"ABT-869, ABT 869",Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,name
279,BIX02189,BIX 02189,CN(C)Cc1cccc(N=C(c2ccccc2)c2c(O)[nH]c3cc(C(=O)N(C)C)ccc23)c1,name
281,Alectinib,"CH5424802, CH 542802, Alecensa",CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,name
282,Pelitinib,"EKB-569, EKB 569",CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,name
283,Omipalisib,"GSK2126458, GSK-2126458, EX-8678, GSK458",COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,name
284,JNJ38877605,,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,name
285,SU11274,,Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,name
286,KIN001-236,,,missing
287,KIN001-244,PDK1 inhibitor 7,,missing
288,WHI-P97,"AC1L1GQE, KIN001-055",COc1cc2ncnc(Nc3cc(Br)c(O)c(Br)c3)c2cc1OC,name
289,KIN001-042,,,missing
290,KIN001-260,"Bayer IKKb inhibitor, ACHP",,missing
291,KIN001-266,,,missing
292,Masitinib,"AB1010, Masivet",Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,name
293,Amuvatinib,"MP470, MP 470, MP-470",S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,name
294,MPS-1-IN-1,,,missing
295,NVP-BHG712,BHG712,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,name
298,OSI-930,OSI 930 OSI930,O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,name
299,OSI-027,A-1065-5,COc1cccc2cc(-c3nc(C4CCC(C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,name
300,CX-5461,"CX5461, CX 5461",Cc1cnc(CNC(=O)c2c(=O)c3ccc(N4CCCN(C)CC4)nc3n3c2sc2ccccc23)cn1,name
301,PHA-793887,"PHA793887, PHA 793887",CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,name
302,PI-103,"PI-103, PI103, PI 103",Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,name
303,PIK-93,"PIK 93, PIK93",CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,name
304,SB52334,"SB-52334, SB 52334",O=C(O)c1cccnc1-c1ccccc1,name
305,TPCA-1,,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,name
306,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503",Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,name
308,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089",COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,name
309,Y-39983,,CC(N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1,name
310,YM201636,"YM-201636, YM 201636",Nc1ccc(C(=O)Nc2cccc(-c3nc(N4CCOCC4)c4oc5ncccc5c4n3)c2)cn1,name
312,Tivozanib,"AV-951, AV 951, KRN-951, KIL8951, ASP-4130",COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,name
317,WYE-125132,,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,name
326,GSK690693,"GSK 690693, GSK-690693",CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCCNC3)c21,name
328,SNX-2112,SNX 2112,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(NC4CCC(O)CC4)c3)c2C1,name
329,QL-XI-92,,,missing
330,XMD13-2,,,missing
331,QL-X-138,,C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cn[nH]c5)cc4c32)ccc1C,name
332,XMD15-27,,,missing
333,T0901317,"TO-901317, TO901317",O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,name
341,Selisistat,"EX-527, EX 527",NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,name
342,Tenovin-6,,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1,name
344,THZ-2-49,,,missing
345,KIN001-270,"CDK9 inhibitor, CDK9-IN-1",,missing
346,THZ-2-102-1,,,missing
356,AT7867,,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,name
362,CI-1033,,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,name
363,PF-00299804,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1,name
366,TWS119,,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,name
371,Torin 2,,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,name
372,Pilaralisib,XL-147,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,name
374,GSK1059615,,O=C1NC(=O)C(=Cc2ccc3nccc(-c4ccncc4)c3c2)S1,name
375,Voxtalisib,"XL-765, SAR245409",CCn1c(=O)c(-c2ccn[nH]2)cc2c(C)nc(N)nc21,name
376,"Brivanib, BMS-540215",,,missing
380,BIBF-1120,,COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)CN4CCN(C)CC4)cc3)c3ccccc3)c(O)[nH]c2c1,name
381,AST-1306,,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,name
382,Apitolisib,GDC0980,Cc1c(CN2CCN(C(=O)C(C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,name
406,LIMK1 inhibitor BMS4,,,missing
407,kb NB 142-70,,O=C1NCCSc2c1sc1ccc(O)cc21,name
408,Sphingosine Kinase 1 Inhibitor II,PF-543,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCCC3CO)cc2)c1,name
409,"eEF2K Inhibitor, A-484954",,,missing
410,"MetAP2 Inhibitor, A832234",,,missing
412,Venotoclax,"ABT-199, Veneclexta, GDC-0199",,missing
415,CPI-613,,O=C(O)CCCCC(CCSCc1ccccc1)SCc1ccccc1,name
416,CAY10566,,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,name
427,Ara-G,9-??-D-Arabinofuranosyl guanine,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,name
428,Pemetrexed,,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,name
431,Alisertib,MLN8237,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,name
432,Flavopiridol,,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,name
